"Species","HabitatForereef","HabitatFringing","COTS","Max_DHW","Cyclone1","Cyclone2","Cyclone3","Land_Dist","Depth_Mean_100m","Depth_Mean_500m","Curvature_Mean_100m","Curvature_Mean_500m","Coral_Mean_Cover","Macroalgae_Mean_Cover","CTB_Mean_Cover","Random: site","Random: year"
"Chaetodon.vagabundus",0.06,0.22,0,0.03,0,0,0,0.13,0.34,0.02,0.02,0.03,0.02,0.05,0.02,0.01,0.03
"Cheilinus.chlorourus",0.52,0.12,0,0,0,0,0,0.08,0.03,0.01,0.09,0.02,0.03,0.01,0.01,0.04,0.02
"Cheilinus.oxycephalus",0.66,0.1,0.01,0,0,0,0,0.08,0.02,0.03,0.01,0.02,0.01,0,0,0.05,0.01
"Cheilinus.trilobatus",0.16,0.25,0.02,0,0,0,0,0.08,0.04,0.02,0.15,0.03,0.05,0.01,0.01,0.15,0.03
"Cheilodipterus.quinquelineatus",0.12,0.27,0.02,0,0,0,0,0.05,0.21,0.05,0.14,0.06,0.01,0.01,0.01,0.02,0.03
"Chlorurus.microrhinos",0.08,0.33,0.01,0.03,0,0,0,0.15,0.08,0.05,0.04,0.03,0.07,0.03,0.03,0.02,0.04
"Chromis.atripectoralis",0.49,0.02,0,0,0,0,0,0.04,0.1,0.02,0.04,0.14,0.01,0.01,0.01,0.09,0.01
"Chromis.viridis",0.58,0.01,0,0,0,0,0,0.03,0.16,0.04,0.06,0.1,0.01,0,0,0.01,0
"Chromis.xanthura",0.06,0.06,0,0,0,0,0,0.03,0.6,0.03,0.08,0.01,0,0,0,0.11,0.01
"Chrysiptera.brownriggii",0.54,0.35,0,0,0,0,0,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0,0
"Cirrhilabrus.exquisitus",0.67,0.02,0,0.01,0,0,0,0.05,0.04,0.09,0.01,0.03,0.01,0.01,0.01,0.03,0.01
"Cirrhilabrus.scottorum",0.5,0.02,0,0,0,0,0,0.05,0.23,0.05,0.05,0.08,0,0.01,0,0.01,0
"Cirripectes.variolosus",0.11,0.05,0,0.01,0,0,0,0.46,0.13,0.04,0.04,0.03,0.04,0.02,0.02,0.03,0.01
"Coris.aygula",0.1,0.15,0.01,0.01,0.01,0,0,0.17,0.25,0.03,0.03,0.04,0.05,0.02,0.01,0.07,0.06
"Coris.gaimard",0.51,0.04,0,0,0,0,0,0.03,0.26,0.01,0.04,0.03,0.01,0,0.02,0.03,0.02
"Corythoichthys.flavofasciatus",0.04,0.19,0,0.01,0,0,0,0.21,0.36,0.02,0.09,0.05,0.01,0,0,0.01,0
"Ctenochaetus.binotatus",0.14,0.49,0,0.01,0,0,0,0.03,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.22,0.01
"Dascyllus.aruanus",0.51,0.04,0,0,0,0,0,0.04,0.2,0.09,0.01,0.04,0.02,0,0,0.03,0.01
"Dascyllus.flavicaudus",0.06,0.11,0.01,0,0,0,0,0.03,0.39,0.07,0.01,0.02,0.01,0.02,0.02,0.21,0.03
"Dascyllus.trimaculatus",0.2,0.23,0,0,0,0,0,0.01,0.3,0.02,0.09,0.09,0,0.01,0.01,0.02,0.02
"Diodon.hystrix",0.1,0.08,0.01,0.01,0,0,0,0.12,0.09,0.04,0.03,0.09,0.02,0.03,0.04,0.04,0.28
"Epibulus.insidiator",0.11,0.03,0.01,0,0.01,0,0,0.07,0.25,0.08,0.12,0.05,0.05,0.01,0.01,0.15,0.05
"Epinephelus.merra",0.6,0.03,0,0.01,0,0,0,0.08,0.09,0.03,0.01,0.05,0.01,0.01,0.01,0.01,0.06
"Fistularia.commersonii",0.05,0.23,0,0,0.01,0,0,0.05,0.11,0.12,0.03,0.14,0.05,0.02,0.02,0.04,0.12
"Forcipiger.flavissimus",0.02,0.16,0,0,0,0,0,0.24,0.02,0.05,0.01,0.14,0.03,0.03,0.02,0.16,0.12
"Fusigobius.neophytus",0.63,0.02,0.01,0,0,0,0,0.13,0.07,0.02,0.02,0.05,0.02,0.01,0,0.01,0.01
"Gnatholepis.anjerensis",0.52,0.03,0,0.01,0,0,0,0.17,0.08,0.04,0.01,0.11,0,0,0,0,0.02
"Gomphosus.varius",0.17,0.3,0,0,0,0,0,0.08,0.11,0.05,0.02,0.04,0.01,0.04,0.02,0.13,0.01
"Gymnothorax.javanicus",0.2,0.05,0.01,0.01,0.03,0.04,0.02,0.07,0.1,0.07,0.03,0.06,0.03,0.07,0.03,0.04,0.14
"Halichoeres.hortulanus",0.37,0.23,0,0,0,0,0,0.11,0.02,0.01,0.03,0.06,0.02,0.01,0,0.11,0.01
"Halichoeres.margaritaceus",0.45,0.08,0,0,0,0,0,0.14,0.07,0.01,0.01,0.01,0,0,0.01,0.19,0.02
"Halichoeres.marginatus",0.5,0.04,0.01,0,0,0,0,0.21,0.03,0.04,0.01,0.02,0.05,0.01,0,0.05,0.02
"Halichoeres.trimaculatus",0.83,0.03,0,0,0,0,0,0.04,0.02,0.01,0.01,0.01,0,0,0,0.04,0.01
