"Species","Habitat type","COTS abundance","Maximum DHW","Cyclone exposure","Distance to land","Depth","Curvature","Benthic cover","Random: site","Random: year"
"Neoniphon.sammara",0.11,0,0,0,0.21,0.08,0.54,0.02,0.02,0
"Novaculichthys.taeniourus",0.26,0.01,0.01,0,0.06,0.14,0.14,0.07,0.29,0.01
"Odonus.niger",0.25,0,0,0.01,0.27,0.18,0.2,0.04,0.04,0.01
"Ostracion.meleagris",0.06,0,0.01,0.01,0.31,0.22,0.31,0.03,0.03,0.03
"Oxycheilinus.unifasciatus",0.5,0,0.01,0.01,0.06,0.15,0.18,0.03,0.05,0.01
"Paracirrhites.arcatus",0.46,0,0,0,0.2,0.2,0.09,0.02,0.01,0
"Paracirrhites.forsteri",0.55,0.01,0.01,0.01,0.08,0.2,0.06,0.05,0.02,0.01
"Parupeneus.ciliatus",0.66,0.01,0,0,0.04,0.11,0.15,0.02,0.01,0.01
"Parupeneus.cyclostomus",0.19,0,0,0.01,0.28,0.2,0.11,0.03,0.05,0.11
"Parupeneus.insularis",0.35,0.04,0.01,0.02,0.11,0.07,0.05,0.09,0.03,0.24
"Parupeneus.pleurostigma",0.34,0.02,0.01,0.01,0.15,0.25,0.07,0.03,0.05,0.06
"Plagiotremus.tapeinosoma",0.2,0.04,0.01,0.02,0.07,0.11,0.3,0.08,0.08,0.09
"Plectroglyphidodon.johnstonianus",0.46,0,0,0,0.04,0.4,0.07,0.03,0,0
"Pomacentrus.pavo",0.75,0,0,0,0.04,0.1,0.08,0.02,0.01,0.01
"Pomachromis.fuscidorsalis",0.37,0,0,0,0.13,0.32,0.09,0.04,0.01,0.03
"Pseudocheilinus.evanidus",0.45,0.01,0,0.01,0.07,0.31,0.07,0.03,0.03,0.02
"Pseudocheilinus.hexataenia",0.13,0.02,0.01,0.01,0.09,0.33,0.22,0.14,0.04,0.03
"Pseudocheilinus.octotaenia",0.55,0,0,0,0.08,0.19,0.1,0.05,0.01,0.02
"Pseudocheilinus.tetrataenia",0.58,0,0,0,0.08,0.26,0.04,0.01,0.02,0
"Pseudojuloides.atavai",0.27,0.01,0.01,0,0.11,0.42,0.07,0.03,0.01,0.06
"Pycnochromis.acares",0.42,0,0,0,0.06,0.41,0.04,0.02,0.03,0
"Pycnochromis.iomelas",0.57,0,0,0,0.04,0.21,0.06,0.03,0.06,0.01
